dt,India,Japan,Netherlands,World
1999-10-01,0.188,1.235,0.392,0.636
1999-11-01,0.786,0.791,0.341,0.614
1999-12-01,0.326,0.078,1.3,1.121
2000-01-01,0.688,1.74,2.13,0.478
2000-02-01,-0.65,-0.564,3.452,1.249
2000-03-01,-0.397,0.22,1.88,1.156
2000-04-01,1.0,-0.228,2.247,1.387
2000-05-01,-0.099,0.835,2.644,0.754
2000-06-01,-0.667,0.647,1.122,0.619
2000-07-01,0.041,1.186,-1.092,0.538
2000-08-01,0.489,0.997,1.064,0.681
2000-09-01,0.331,0.846,1.383,0.471
2000-10-01,1.089,1.006,1.109,0.277
2000-11-01,1.142,0.74,1.889,0.09
2000-12-01,0.59,0.234,2.066,0.222
2001-01-01,0.216,-0.24,1.123,0.807
2001-02-01,0.999,0.215,2.03,0.605
2001-03-01,0.354,0.469,0.359,1.195
2001-04-01,-0.253,0.842,0.143,0.981
2001-05-01,0.224,0.824,2.032,1.026
2001-06-01,-0.973,0.905,-0.343,0.691
2001-07-01,0.078,1.202,1.976,0.832
2001-08-01,0.501,-0.165,2.198,0.986
2001-09-01,1.053,-0.151,-0.918,0.697
2001-10-01,0.768,0.776,3.877,0.651
2001-11-01,1.217,-0.048,0.695,1.347
2001-12-01,0.917,-0.656,-0.539,0.748
2002-01-01,0.475,1.551,2.307,1.398
2002-02-01,0.562,1.74,4.623,1.833
2002-03-01,0.849,2.479,2.206,1.602
2002-04-01,0.868,1.908,1.284,0.803
2002-05-01,0.846,0.68,1.571,0.77
2002-06-01,0.239,0.259,1.691,0.786
2002-07-01,1.574,0.763,0.986,1.04
2002-08-01,0.37,-0.077,2.552,0.86
2002-09-01,0.45,0.226,0.594,0.827
2002-10-01,0.811,0.348,-0.696,0.596
2002-11-01,0.864,-1.805,1.739,0.953
2002-12-01,1.398,-0.328,-0.235,0.349
2003-01-01,-0.017,0.026,0.45,1.39
2003-02-01,0.895,0.845,-0.619,0.914
2003-03-01,0.183,0.144,2.568,0.813
2003-04-01,0.866,1.105,1.64,0.867
2003-05-01,0.598,0.749,1.562,1.033
2003-06-01,0.889,0.627,3.07,0.753
2003-07-01,0.28,-1.689,2.373,0.798
2003-08-01,0.523,-0.505,3.364,0.941
2003-09-01,0.276,0.731,0.702,0.887
2003-10-01,0.29,-0.102,-2.648,1.218
2003-11-01,0.817,2.116,2.19,0.789
2003-12-01,0.517,0.853,1.035,1.442
2004-01-01,0.246,0.646,1.319,1.001
2004-02-01,0.468,1.887,2.386,1.381
2004-03-01,1.866,0.992,1.014,1.31
2004-04-01,0.923,0.932,2.312,0.888
2004-05-01,-0.096,1.46,0.095,0.466
2004-06-01,-0.304,1.463,0.454,0.563
2004-07-01,0.65,1.206,0.262,0.482
2004-08-01,0.334,0.14,2.486,0.519
2004-09-01,0.7,1.075,1.095,0.671
2004-10-01,-0.296,0.582,1.071,0.88
2004-11-01,0.687,2.064,0.361,1.365
2004-12-01,0.991,1.53,0.089,0.524
2005-01-01,0.453,0.572,2.984,1.174
2005-02-01,0.599,0.087,-0.236,0.826
2005-03-01,0.747,-0.047,1.142,1.315
2005-04-01,-0.187,0.771,2.21,1.414
2005-05-01,0.039,-0.294,0.685,1.07
2005-06-01,1.353,1.619,1.253,1.095
2005-07-01,0.247,0.086,1.4,0.983
2005-08-01,0.683,0.919,-0.347,0.878
2005-09-01,0.491,1.378,1.888,1.134
2005-10-01,0.22,1.547,3.098,1.298
2005-11-01,0.115,0.537,0.773,1.527
2005-12-01,0.145,-2.171,0.508,1.086
2006-01-01,0.738,0.285,-0.778,0.722
2006-02-01,2.533,1.14,0.123,1.368
2006-03-01,0.045,0.515,-1.321,1.192
2006-04-01,0.189,-0.708,0.735,0.776
2006-05-01,0.128,0.63,1.75,0.722
2006-06-01,-0.023,0.48,1.272,1.118
2006-07-01,0.516,0.029,5.282,0.984
2006-08-01,0.25,1.301,0.002,0.963
2006-09-01,0.512,0.265,3.885,0.91
2006-10-01,0.86,1.392,3.448,1.205
2006-11-01,1.041,1.376,3.073,0.965
2006-12-01,1.072,0.957,3.427,1.463
2007-01-01,0.824,1.956,4.948,2.087
2007-02-01,0.51,2.551,3.685,1.215
2007-03-01,-0.018,1.204,2.947,1.261
2007-04-01,0.88,-0.35,4.541,1.497
2007-05-01,0.201,0.458,1.932,1.094
2007-06-01,0.143,1.175,2.271,0.782
2007-07-01,0.492,-0.704,0.515,0.826
2007-08-01,0.542,1.173,0.45,0.929
2007-09-01,0.496,1.982,-0.258,1.007
2007-10-01,0.184,1.254,-0.313,1.153
2007-11-01,0.836,0.228,0.584,1.063
2007-12-01,0.623,0.946,0.838,0.982
2008-01-01,0.276,0.742,4.214,0.321
2008-02-01,-0.817,-0.414,3.143,0.654
2008-03-01,0.726,1.782,0.964,1.818
2008-04-01,-0.058,0.818,0.615,0.834
